Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
378,2309,716.7685,Success,35.62,2.32,1.78,-1.09
379,2309,717.8723,Success,33.54,1.59,4.41,-0.98
380,2310,707.7922,Success,33.27,3.46,3.70,-2.14
381,2310,712.4245,Success,34.22,2.58,1.36,-1.06
382,2310,682.2944,Success,40.15,3.18,3.57,-1.12
383,2310,-248.8306,Crash,38.59,3.58,0.16,-3.18
384,2310,674.1544,Success,39.2,3.38,6.27,-1.96
385,2310,658.6896,Success,40.41,3.56,6.56,-0.30
386,2310,746.5877,Success,30.46,0.34,2.11,-1.82
387,2311,681.8483,Success,40.94,3.04,2.33,-1.63
388,2311,-308.6231,Spin,32.12,2.18,2.10,-8.39
389,2311,678.7872,Success,40.68,2.95,7.04,-1.46
390,2311,-235.8492,Crash,35.09,1.99,5.63,-1.42
391,2311,684.4281,Success,39.58,3.18,1.14,-1.39
392,2311,700.1277,Success,34.08,2.45,6.63,-0.77
393,2311,682.8511,Success,37.57,3.67,3.35,-1.54
394,2312,-453.4496,Spin,40.3,2.9,9.84,-0.68
395,2312,696.2327,Success,38.83,1.16,6.13,-1.05
396,2312,721.0021,Success,32.55,1.32,5.53,-1.29
397,2312,673.954,Success,30.52,3.45,7.44,-0.41
398,2312,684.1713,Success,37.56,2.65,1.79,-1.17
399,2313,689.4162,Success,38.2,2.38,4.61,-1.17
400,2313,714.1421,Success,34.27,2.98,2.76,-1.20
401,2313,687.7945,Success,30.35,3.89,6.44,-0.85
402,2313,708.0687,Success,35.21,2.16,2.27,-1.18
403,2313,720.7255,Success,32.7,1.94,4.27,-2.50
404,2313,721.5688,Success,30.59,2.98,2.93,-0.67
405,2313,677.3465,Success,39.11,2.86,6.36,-1.48
406,2314,679.5573,Success,40.46,1.68,5.40,-1.47
407,2314,735.9503,Success,30.54,1.43,1.57,-1.54
408,2314,703.174,Success,33.98,2.86,4.38,-2.28
409,2314,673.8395,Success,41.59,3.23,5.49,-1.21
410,2314,710.1031,Success,38.04,1.99,3.61,-1.08
411,2314,717.4112,Success,36.63,0.72,2.29,-0.36
412,2314,697.895,Success,38.02,2.86,1.50,-1.05
413,2315,726.511,Success,32.6,1.78,3.49,-2.20
414,2315,-243.487,Crash,32.41,3.25,7.75,-0.70
415,2315,728.1444,Success,30.8,2.26,2.68,-2.23
416,2315,668.1895,Success,40.99,3.08,5.34,-1.07
417,2315,727.8471,Success,33.01,2.31,0.82,-1.26
418,2315,-242.0701,Crash,34.56,0.45,9.93,-2.10
419,2315,-225.9703,Crash,37.2,0.56,5.38,-5.17
420,2316,653.6584,Success,41.01,3.15,8.59,-1.16
421,2316,713.273,Success,32.27,2.74,5.35,-2.00
422,2316,-519.0181,OutOfBounds,33.26,0.82,26.91,2.82
423,2316,713.0914,Success,34.49,1.98,2.66,-1.72
424,2316,686.5692,Success,41.23,3.11,2.32,-2.24
425,2317,-243.5554,Crash,35.91,1.5,6.47,-0.48
426,2317,710.2638,Success,36.69,2.14,2.95,-2.81
427,2317,675.6975,Success,39.98,3.11,4.90,-2.09
428,2317,697.4445,Success,41.3,2.14,1.55,-1.83
429,2317,-230.4137,Crash,31.45,1.59,6.00,-1.36
430,2317,-256.0153,Crash,39.21,1.51,11.82,-4.38
431,2317,682.1578,Success,39.61,2.93,7.66,-3.38
432,2318,-253.1682,Crash,33.57,2.91,11.86,-4.05
433,2318,717.8403,Success,30.13,2.79,4.07,-2.53
434,2318,705.6039,Success,33.59,2.08,4.42,-0.99
435,2318,718.5763,Success,33.17,2.13,3.38,-2.35
436,2318,703.5352,Success,35.8,2.08,1.47,-1.48
437,2318,716.2155,Success,29.7,2.06,4.65,-2.70
438,2318,-220.8156,Crash,29.73,3.14,2.85,-2.76
439,2319,706.0851,Success,30.46,3.29,7.01,-0.96
440,2319,692.6573,Success,30.11,2.72,8.29,-1.90
441,2319,694.7507,Success,31.84,2.89,6.09,-1.00
442,2319,719.0212,Success,29.84,1.79,3.26,-1.13
443,2319,715.4065,Success,36.53,1.41,1.54,-0.82
444,2319,696.948,Success,39.98,1.73,1.75,-0.63
445,2319,708.9763,Success,34.22,3.17,0.46,-1.85
446,2320,690.2259,Success,35.8,2.5,4.80,-1.92
447,2320,719.8593,Success,34.59,0.9,1.84,-2.22
448,2320,718.4368,Success,32.22,1.92,4.26,-1.43
449,2320,729.6039,Success,31.14,1.64,3.97,-2.67
450,2320,-253.1597,Crash,41.43,1.14,7.31,-3.78
451,2320,728.1896,Success,30.43,2.84,1.71,-2.14
452,2320,727.1718,Success,33.76,2.01,0.67,-2.15
453,2320,685.6943,Success,37.42,1.87,7.64,-0.88
454,2321,726.6717,Success,31.76,2.28,2.70,-1.56
